mcg_sicdescription,mcg_naicscode,mcg_industrysector_displayname,mcg_industry_displayname,mcg_name,mcg_subsectortext0,mcg_description
Lead Pencils And Art Goods,339940,Manufacturing,Industrials,339940 - Office Supplies (except Paper) Manufacturing,Other Industrials,Office Supplies (except Paper) Manufacturing
Signs And Advertising Specialties,339950,Manufacturing,Industrials,339950 - Sign Manufacturing,Manufacturing,Sign Manufacturing
Gaskets; Packing And Sealing Devices,339991,Manufacturing,Industrials,"339991 - Gasket, Packing, and Sealing Device Manufacturing",Manufacturing,"Gasket, Packing, and Sealing Device Manufacturing"
Musical Instruments,339992,Consumer Goods,Consumer Products,339992 - Musical Instrument Manufacturing,Home & Leisure,Musical Instrument Manufacturing
"Fasteners, Buttons, Needles, And Pins",339993,Consumer Goods,Consumer Products,"339993 - Fastener, Button, Needle, and Pin Manufacturing",Fashion,"Fastener, Button, Needle, and Pin Manufacturing"
Brooms And Brushes,339994,Consumer Goods,Consumer Products,"339994 - Broom, Brush, and Mop Manufacturing",Home & Leisure,"Broom, Brush, and Mop Manufacturing"
Burial Caskets,339995,Manufacturing,Industrials,339995 - Burial Casket Manufacturing,Manufacturing,Burial Casket Manufacturing
"Manufacturing Industries, Nec",339999,Manufacturing,Industrials,339999 - All Other Miscellaneous Manufacturing,Manufacturing,All Other Miscellaneous Manufacturing
Automobiles And Other Motor Vehicles,423110,Manufacturing,Industrials,423110 - Automobile and Other Motor Vehicle Merchant Wholesalers,Automotive,Automobile and Other Motor Vehicle Merchant Wholesalers
Motor Vehicle Supplies And New Parts,423120,Manufacturing,Industrials,423120 - Motor Vehicle Supplies and New Parts Merchant Wholesalers,Automotive,Motor Vehicle Supplies and New Parts Merchant Wholesalers
Tires And Tubes,423130,Manufacturing,Industrials,423130 - Tire and Tube Merchant Wholesalers,Automotive,Tire and Tube Merchant Wholesalers
"Motor Vehicle Parts, Used",423140,Manufacturing,Industrials,423140 - Motor Vehicle Parts (Used) Merchant Wholesalers,Automotive,Motor Vehicle Parts (Used) Merchant Wholesalers
Furniture,423210,Consumer Goods,Consumer Products,423210 - Furniture Merchant Wholesalers,Home & Leisure,Furniture Merchant Wholesalers
Homefurnishings,423220,Consumer Goods,Consumer Products,423220 - Home Furnishing Merchant Wholesalers,Home & Leisure,Home Furnishing Merchant Wholesalers
"Lumber, Plywood, And Millwork",423310,B2B Wholesale/Distribution,Industrials,"423310 - Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",B2B Wholesale,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
"Brick, Stone, And Related Material",423320,B2B Wholesale/Distribution,Industrials,"423320 - Brick, Stone, and Related Construction Material Merchant Wholesalers",B2B Wholesale,"Brick, Stone, and Related Construction Material Merchant Wholesalers"
"Roofing, Siding, And Insulation",423330,B2B Wholesale/Distribution,Industrials,"423330 - Roofing, Siding, and Insulation Material Merchant Wholesalers",B2B Wholesale,"Roofing, Siding, and Insulation Material Merchant Wholesalers"
"Construction Materials, Nec",423390,B2B Wholesale/Distribution,Industrials,423390 - Other Construction Material Merchant Wholesalers,B2B Wholesale,Other Construction Material Merchant Wholesalers
Photographic Equipment And Supplies,423410,B2B Wholesale/Distribution,Industrials,423410 - Photographic Equipment and Supplies Merchant Wholesalers,B2B Wholesale,Photographic Equipment and Supplies Merchant Wholesalers
Office Equipment,423420,B2B Wholesale/Distribution,Industrials,423420 - Office Equipment Merchant Wholesalers,B2B Wholesale,Office Equipment Merchant Wholesalers
"Computers, Peripherals, And Software",423430,Technology,TMT,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,Hardware,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers
"Commercial Equipment, Nec",423440,B2B Wholesale/Distribution,Industrials,423440 - Other Commercial Equipment Merchant Wholesalers,B2B Wholesale,Other Commercial Equipment Merchant Wholesalers
Medical And Hospital Equipment,423450,Medical Devices,Life Sciences,"423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",Medical Devices,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
Ophthalmic Goods,423460,Consumer Goods,Consumer Products,423460 - Ophthalmic Goods Merchant Wholesalers,Fashion,Ophthalmic Goods Merchant Wholesalers
"Professional Equipment, Nec",423490,B2B Wholesale/Distribution,Industrials,423490 - Other Professional Equipment and Supplies Merchant Wholesalers,B2B Wholesale,Other Professional Equipment and Supplies Merchant Wholesalers
Metals Service Centers And Offices,423510,B2B Wholesale/Distribution,Industrials,423510 - Metal Service Centers and Other Metal Merchant Wholesalers,B2B Wholesale,Metal Service Centers and Other Metal Merchant Wholesalers
Coal And Other Minerals And Ores,423520,Energy,Industrials,423520 - Coal and Other Mineral and Ore Merchant Wholesalers,Natural Resources (Metals and Mining),Coal and Other Mineral and Ore Merchant Wholesalers
Electrical Apparatus And Equipment,423610,B2B Wholesale/Distribution,Industrials,"423610 - Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",B2B Wholesale,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
#N/A,423620,Consumer Goods,Consumer Products,"423620 - Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",Home & Leisure,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers"
"Electronic Parts And Equipment, Nec",423690,Technology,TMT,423690 - Other Electronic Parts and Equipment Merchant Wholesalers,Hardware,Other Electronic Parts and Equipment Merchant Wholesalers
Hardware,423710,B2B Wholesale/Distribution,Industrials,423710 - Hardware Merchant Wholesalers,B2B Wholesale,Hardware Merchant Wholesalers
"Electrical Appliances, Television And Radio",423720,B2B Wholesale/Distribution,Industrials,423720 - Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,B2B Wholesale,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
Warm Air Heating And Air Conditioning,423730,B2B Wholesale/Distribution,Industrials,423730 - Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,B2B Wholesale,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
Refrigeration Equipment And Supplies,423740,B2B Wholesale/Distribution,Industrials,423740 - Refrigeration Equipment and Supplies Merchant Wholesalers,B2B Wholesale,Refrigeration Equipment and Supplies Merchant Wholesalers
Construction And Mining Machinery,423810,Energy,Industrials,423810 - Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,Natural Resources (Metals and Mining),Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
Farm And Garden Machinery,423820,B2B Wholesale/Distribution,Industrials,423820 - Farm and Garden Machinery and Equipment Merchant Wholesalers,B2B Wholesale,Farm and Garden Machinery and Equipment Merchant Wholesalers
Industrial Machinery And Equipment,423830,B2B Wholesale/Distribution,Industrials,423830 - Industrial Machinery and Equipment Merchant Wholesalers,B2B Wholesale,Industrial Machinery and Equipment Merchant Wholesalers
Industrial Supplies,423840,B2B Wholesale/Distribution,Industrials,423840 - Industrial Supplies Merchant Wholesalers,B2B Wholesale,Industrial Supplies Merchant Wholesalers
Service Establishment Equipment,423850,Consumer Goods,Consumer Products,423850 - Service Establishment Equipment and Supplies Merchant Wholesalers,Home & Leisure,Service Establishment Equipment and Supplies Merchant Wholesalers
Transportation Equipment And Supplies,423860,Manufacturing,Industrials,423860 - Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,Automotive,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers
Sporting And Recreation Goods,423910,Consumer Goods,Consumer Products,423910 - Sporting and Recreational Goods and Supplies Merchant Wholesalers,Home & Leisure,Sporting and Recreational Goods and Supplies Merchant Wholesalers
Toys And Hobby Goods And Supplies,423920,Consumer Goods,Consumer Products,423920 - Toy and Hobby Goods and Supplies Merchant Wholesalers,Home & Leisure,Toy and Hobby Goods and Supplies Merchant Wholesalers
Scrap And Waste Materials,423930,Manufacturing,Industrials,423930 - Recyclable Material Merchant Wholesalers,Manufacturing,Recyclable Material Merchant Wholesalers
Jewelry And Precious Stones,423940,Consumer Goods,Consumer Products,"423940 - Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",Fashion,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers"
"Durable Goods, Nec",423990,B2B Wholesale/Distribution,Industrials,423990 - Other Miscellaneous Durable Goods Merchant Wholesalers,B2B Wholesale,Other Miscellaneous Durable Goods Merchant Wholesalers
Printing And Writing Paper,424110,Manufacturing,Industrials,424110 - Printing and Writing Paper Merchant Wholesalers,Manufacturing,Printing and Writing Paper Merchant Wholesalers
Stationery And Office Supplies,424120,Consumer Goods,Consumer Products,424120 - Stationery and Office Supplies Merchant Wholesalers,Home & Leisure,Stationery and Office Supplies Merchant Wholesalers
Industrial And Personal Service Paper,424130,Manufacturing,Industrials,424130 - Industrial and Personal Service Paper Merchant Wholesalers,Manufacturing,Industrial and Personal Service Paper Merchant Wholesalers
"Drugs, Proprietaries, And Sundries",424210,Consumer Goods,Consumer Products,424210 - Drugs and Druggists' Sundries Merchant Wholesalers,Beauty,Drugs and Druggists' Sundries Merchant Wholesalers
Piece Goods And Notions,424310,Consumer Goods,Consumer Products,"424310 - Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",Fashion,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
Men's And Boy's Clothing,424320,Consumer Goods,Consumer Products,424320 - Men's and Boys' Clothing and Furnishings Merchant Wholesalers,Fashion,Men's and Boys' Clothing and Furnishings Merchant Wholesalers
Women's And Children's Clothing,424330,Consumer Goods,Consumer Products,"424330 - Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",Fashion,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers"
Footwear,424340,Consumer Goods,Consumer Products,424340 - Footwear Merchant Wholesalers,Fashion,Footwear Merchant Wholesalers
"Groceries, General Line",424410,Food & Beverage,Consumer Products,424410 - General Line Grocery Merchant Wholesalers,Food Distribution,General Line Grocery Merchant Wholesalers
Packaged Frozen Goods,424420,Food & Beverage,Consumer Products,424420 - Packaged Frozen Food Merchant Wholesalers,Food Distribution,Packaged Frozen Food Merchant Wholesalers
"Dairy Products, Except Dried Or Canned",424430,Food & Beverage,Consumer Products,424430 - Dairy Product (except Dried or Canned) Merchant Wholesalers,Food Distribution,Dairy Product (except Dried or Canned) Merchant Wholesalers
Poultry And Poultry Products,424440,Food & Beverage,Consumer Products,424440 - Poultry and Poultry Product Merchant Wholesalers,Food Distribution,Poultry and Poultry Product Merchant Wholesalers
Confectionery,424450,Food & Beverage,Consumer Products,424450 - Confectionery Merchant Wholesalers,Food Distribution,Confectionery Merchant Wholesalers
Fish And Seafoods,424460,Food & Beverage,Consumer Products,424460 - Fish and Seafood Merchant Wholesalers,Food Distribution,Fish and Seafood Merchant Wholesalers
Meats And Meat Products,424470,Food & Beverage,Consumer Products,424470 - Meat and Meat Product Merchant Wholesalers,Food Distribution,Meat and Meat Product Merchant Wholesalers
Fresh Fruits And Vegetables,424480,Food & Beverage,Consumer Products,424480 - Fresh Fruit and Vegetable Merchant Wholesalers,Food Distribution,Fresh Fruit and Vegetable Merchant Wholesalers
"Groceries And Related Products, Nec",424490,Food & Beverage,Consumer Products,424490 - Other Grocery and Related Products Merchant Wholesalers,Food Distribution,Other Grocery and Related Products Merchant Wholesalers
Grain And Field Beans,424510,Food & Beverage,Consumer Products,424510 - Grain and Field Bean Merchant Wholesalers,Food Distribution,Grain and Field Bean Merchant Wholesalers
Livestock,424520,Food & Beverage,Consumer Products,424520 - Livestock Merchant Wholesalers,Food Distribution,Livestock Merchant Wholesalers
"Farm-Product Raw Materials, Nec",424590,Food & Beverage,Consumer Products,424590 - Other Farm Product Raw Material Merchant Wholesalers,Food Distribution,Other Farm Product Raw Material Merchant Wholesalers
Plastics Materials And Basic Shapes,424610,B2B Wholesale/Distribution,Industrials,424610 - Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,B2B Wholesale,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers
"Chemicals And Allied Products, Nec",424690,Energy,Industrials,424690 - Other Chemical and Allied Products Merchant Wholesalers,Chemicals / Petrochemicals,Other Chemical and Allied Products Merchant Wholesalers
Petroleum Bulk Stations And Terminals,424710,Energy,Industrials,424710 - Petroleum Bulk Stations and Terminals,Downstream,Petroleum Bulk Stations and Terminals
"Petroleum Products, Nec",424720,Energy,Industrials,424720 - Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Downstream,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
Beer And Ale,424810,Food & Beverage,Consumer Products,424810 - Beer and Ale Merchant Wholesalers,Food Distribution,Beer and Ale Merchant Wholesalers
